Key,Issue Type,Summary,Status,Created,Backlog,Cancelled,Code Review,Completed,Deployed to production,Done,Draft,In Development,In preprod testing,In Progress,In team environment testing,Open,PAUSED,Peer Review,Ready For Development,Ready for preprod testing,Ready for refinement,Ready For Release,Ready for sign-off,Ready for team environment testing,Ready for testing,Ready to deploy to production,Refinement,Refinement Ready,Released,Researching,Review Ready,Signed off,Sprint ready,Testing,To Do,TODO,Will Not Implement
EPA-2365,Bug,FE: Unnecessary request for myApprovalsUI properties if person has no capability to approve,Peer Review,2025-04-25 14:07,-,-,-,-,-,-,-,22h 31m,-,-,-,-,-,3d 13h 0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 22h 2m,-,-
EPA-2362,Story,FE: Remove feature flag,Signed off,2025-04-24 15:19,-,-,-,-,-,-,-,-,-,49m,2d 0h 43m,-,-,5d 17h 0m,-,-,-,-,2h 13m,2h 8m,-,-,-,-,-,-,-,9h 29m,-,-,0m,-,-
EPA-2361,Task,BE: create recognition service instance for crescendo team env,Completed,2025-04-24 08:54,-,-,-,1w 0d 14h 31m,-,-,-,1d 0h 0m,-,0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15m,-,-
EPA-2360,Defect,UI Design,Completed,2025-04-23 09:43,-,-,-,1w 1d 8h 27m,-,-,-,-,-,19h 52m,-,-,-,5h 50m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3h 48m,-,-
EPA-2359,Sub-task,QA Team functional test,Completed,2025-04-22 16:29,-,-,-,1d 10h 4m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h 34m,1w 1d 18h 33m,-,-
EPA-2358,Sub-task,Test case creation,Completed,2025-04-22 16:28,-,-,-,1d 12h 38m,-,-,-,-,-,5d 19h 42m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 22h 52m,-,-
EPA-2357,Sub-task,QA Team functional test,Completed,2025-04-22 16:27,-,-,-,1d 8h 34m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h 25m,1w 1d 21h 13m,-,-
EPA-2356,Sub-task,Test case creation,Completed,2025-04-22 16:26,-,-,-,1w 2d 9h 30m,-,-,-,-,-,21h 44m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2355,Task,FE: Increase test coverage for the project recognition-iq-ui-app,Completed,2025-04-22 14:51,-,-,-,6d 10h 34m,-,-,-,1d 0h 17m,-,27m,-,-,-,2d 3h 2m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18h 29m,-,-
EPA-2354,Sub-task,QA Team functional test,Completed,2025-04-22 13:32,-,-,-,1w 3d 8h 57m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h 10m,1m,-,-
EPA-2353,Sub-task,Test case creation,Completed,2025-04-22 13:31,-,-,-,1w 3d 9h 56m,-,-,-,-,-,13m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2352,Sub-task,QA Team functional test,Completed,2025-04-22 11:04,-,-,-,1w 3d 7h 18m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h 52m,3h 26m,-,-
EPA-2351,Sub-task,Test case creation,Completed,2025-04-22 11:03,-,-,-,1w 3d 8h 36m,-,-,-,-,-,4h 1m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2350,Story,Add heap tracking to approval side nav,Ready for refinement,2025-04-22 10:58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 3d 12h 40m,-,-,-,-,-,-,-,-,-,-,-,-,-,2m,-,-
EPA-2349,Story,Add heap tracking to approval Delegation,To Do,2025-04-22 10:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 3d 12h 43m,-,-
EPA-2348,Story,Add heap tracking to Multi-Select/Approve,Ready For Development,2025-04-22 10:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 3d 11h 53m,-,54m,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2347,Epic,Approval App - Heap Endpoints,Refinement,2025-04-22 10:47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 3d 7h 53m,-,-,-,-,-,-,-,5h 0m,-,-
EPA-2346,Story,Approval Card - Hide Approve/Disapprove and Multi-Select,In Development,2025-04-22 10:23,-,-,-,-,-,-,-,1d 9h 21m,-,-,-,-,-,-,1w 2d 2h 48m,-,27m,-,-,-,-,-,-,-,-,-,-,-,-,-,40m,-,-
EPA-2345,Sub-task,QA Team functional test,Completed,2025-04-18 13:44,-,-,-,1w 3d 11h 1m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3h 9m,3d 19h 46m,-,-
EPA-2344,Sub-task,Test case creation,Completed,2025-04-18 13:44,-,-,-,1w 3d 14h 10m,-,-,-,-,-,3d 19h 45m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2m,-,-
